mandante,visitante,resultado
Corinthians,Palmeiras,casa
Gremio,Flamengo,casa
Figueirense,Bahia,empate
Botafogo-RJ,Ponte Preta,fora
Santos,Coritiba,empate
Atletico-GO,Fluminense,fora
Sport,Internacional,fora
Nautico,Fluminense,fora
Cruzeiro,Sao Paulo,fora
Vasco,Ponte Preta,casa
Coritiba,Sport,fora
Bahia,Internacional,empate
Portuguesa,Santos,empate
Gremio,Atletico-MG,fora
Flamengo,Atletico-GO,casa
Palmeiras,Figueirense,casa
Botafogo-RJ,Bahia,casa
Internacional,Cruzeiro,casa
Atletico-GO,Nautico,fora
Sao Paulo,Coritiba,casa
Figueirense,Vasco,empate
Fluminense,Flamengo,casa
Santos,Gremio,casa
Ponte Preta,Palmeiras,casa
Atletico-MG,Portuguesa,casa
Sport,Corinthians,empate
Corinthians,Botafogo-RJ,fora
Corinthians,Nautico,casa
Figueirense,Atletico-MG,fora
Ponte Preta,Coritiba,casa
Botafogo-RJ,Fluminense,empate
Internacional,Santos,empate
Bahia,Flamengo,fora
Cruzeiro,Gremio,fora
Sport,Portuguesa,casa
Vasco,Atletico-GO,casa
Palmeiras,Sao Paulo,empate
Santos,Botafogo-RJ,empate
Gremio,Sport,casa
Nautico,Ponte Preta,casa
Portuguesa,Cruzeiro,fora
Atletico-MG,Internacional,casa
Sao Paulo,Vasco,fora
Flamengo,Corinthians,fora
Atletico-GO,Figueirense,casa
Fluminense,Bahia,casa
Coritiba,Palmeiras,empate
Sport,Atletico-MG,fora
Vasco,Santos,casa
Corinthians,Portuguesa,empate
Palmeiras,Nautico,casa
Internacional,Atletico-GO,casa
Cruzeiro,Flamengo,casa
Figueirense,Sao Paulo,fora
Ponte Preta,Fluminense,fora
Botafogo-RJ,Gremio,fora
Bahia,Coritiba,empate
Figueirense,Internacional,fora
Ponte Preta,Sport,empate
Vasco,Botafogo-RJ,casa
Nautico,Coritiba,fora
Corinthians,Cruzeiro,casa
Atletico-GO,Sao Paulo,casa
Gremio,Fluminense,casa
Atletico-MG,Santos,casa
Flamengo,Portuguesa,empate
Palmeiras,Bahia,fora
Internacional,Vasco,empate
Coritiba,Gremio,casa
Botafogo-RJ,Figueirense,casa
Sao Paulo,Flamengo,casa
Fluminense,Atletico-MG,empate
Sport,Atletico-GO,empate
Bahia,Corinthians,empate
Cruzeiro,Palmeiras,casa
Santos,Ponte Preta,casa
Portuguesa,Nautico,casa
Palmeiras,Internacional,fora
Atletico-GO,Botafogo-RJ,fora
Portuguesa,Figueirense,casa
Vasco,Corinthians,empate
Gremio,Bahia,casa
Coritiba,Fluminense,fora
Sao Paulo,Sport,casa
Cruzeiro,Ponte Preta,fora
Nautico,Santos,casa
Sport,Vasco,fora
Internacional,Nautico,empate
Bahia,Portuguesa,empate
Corinthians,Atletico-GO,empate
Figueirense,Flamengo,fora
Botafogo-RJ,Palmeiras,fora
Santos,Cruzeiro,casa
Ponte Preta,Gremio,empate
Atletico-MG,Coritiba,casa
Fluminense,Sao Paulo,casa
Bahia,Cruzeiro,fora
Sport,Figueirense,fora
Santos,Atletico-GO,empate
Flamengo,Nautico,casa
Atletico-MG,Vasco,casa
Internacional,Ponte Preta,casa
Coritiba,Corinthians,fora
Sao Paulo,Gremio,fora
Fluminense,Palmeiras,casa
Portuguesa,Botafogo-RJ,empate
Gremio,Portuguesa,fora
Cruzeiro,Fluminense,empate
Atletico-GO,Atletico-MG,empate
Ponte Preta,Bahia,fora
Palmeiras,Flamengo,casa
Nautico,Sao Paulo,casa
Botafogo-RJ,Sport,casa
Vasco,Coritiba,empate
Corinthians,Internacional,casa
Figueirense,Santos,fora
Nautico,Bahia,casa
Fluminense,Sport,casa
Sao Paulo,Ponte Preta,casa
Santos,Corinthians,casa
Coritiba,Cruzeiro,casa
Atletico-MG,Botafogo-RJ,casa
Gremio,Figueirense,casa
Portuguesa,Internacional,empate
Atletico-GO,Palmeiras,casa
Flamengo,Vasco,casa
Palmeiras,Santos,fora
Vasco,Fluminense,fora
Ponte Preta,Portuguesa,casa
Internacional,Gremio,fora
Botafogo-RJ,Flamengo,empate
Corinthians,Sao Paulo,fora
Figueirense,Coritiba,casa
Cruzeiro,Atletico-MG,empate
Bahia,Atletico-GO,empate
Sport,Nautico,empate
Coritiba,Internacional,casa
Santos,Bahia,fora
Portuguesa,Palmeiras,casa
Nautico,Figueirense,casa
Atletico-MG,Ponte Preta,empate
Fluminense,Corinthians,empate
Gremio,Vasco,casa
Atletico-GO,Cruzeiro,fora
Flamengo,Sport,empate
Sao Paulo,Botafogo-RJ,casa
Palmeiras,Gremio,empate
Figueirense,Fluminense,empate
Vasco,Portuguesa,casa
Internacional,Flamengo,casa
Corinthians,Atletico-MG,casa
Bahia,Sao Paulo,casa
Sport,Santos,casa
Ponte Preta,Atletico-GO,casa
Cruzeiro,Nautico,casa
Botafogo-RJ,Coritiba,casa
Flamengo,Ponte Preta,fora
Portuguesa,Coritiba,casa
Nautico,Vasco,empate
Bahia,Atletico-MG,empate
Gremio,Atletico-GO,casa
Figueirense,Corinthians,casa
Sao Paulo,Internacional,empate
Cruzeiro,Botafogo-RJ,fora
Fluminense,Santos,casa
Palmeiras,Sport,casa
Coritiba,Flamengo,casa
Ponte Preta,Figueirense,empate
Corinthians,Gremio,casa
Santos,Sao Paulo,empate
Internacional,Fluminense,fora
Botafogo-RJ,Nautico,casa
Vasco,Bahia,fora
Atletico-GO,Portuguesa,empate
Sport,Cruzeiro,casa
Atletico-MG,Palmeiras,casa
Portuguesa,Fluminense,fora
Figueirense,Cruzeiro,casa
Corinthians,Ponte Preta,empate
Atletico-GO,Coritiba,fora
Sport,Bahia,empate
Atletico-MG,Sao Paulo,casa
Vasco,Palmeiras,casa
Santos,Flamengo,casa
Gremio,Nautico,casa
Botafogo-RJ,Internacional,empate
Fluminense,Atletico-GO,fora
Sao Paulo,Portuguesa,casa
Coritiba,Santos,fora
Palmeiras,Corinthians,fora
Cruzeiro,Vasco,empate
Nautico,Atletico-MG,casa
Bahia,Figueirense,casa
Flamengo,Gremio,empate
Internacional,Sport,empate
Ponte Preta,Botafogo-RJ,empate
Figueirense,Palmeiras,fora
Fluminense,Nautico,casa
Santos,Portuguesa,fora
Botafogo-RJ,Corinthians,empate
Sao Paulo,Cruzeiro,casa
Ponte Preta,Vasco,empate
Atletico-GO,Flamengo,fora
Internacional,Bahia,casa
Atletico-MG,Gremio,empate
Sport,Coritiba,casa
Flamengo,Atletico-MG,casa
Portuguesa,Atletico-MG,empate
Vasco,Figueirense,casa
Cruzeiro,Internacional,empate
Nautico,Atletico-GO,casa
Palmeiras,Ponte Preta,casa
Flamengo,Fluminense,fora
Corinthians,Sport,casa
Bahia,Botafogo-RJ,casa
Coritiba,Sao Paulo,empate
Gremio,Santos,empate
Flamengo,Bahia,empate
Portuguesa,Sport,casa
Coritiba,Ponte Preta,casa
Sao Paulo,Palmeiras,casa
Santos,Internacional,empate
Atletico-GO,Vasco,fora
Nautico,Corinthians,casa
Fluminense,Botafogo-RJ,casa
Gremio,Cruzeiro,casa
Atletico-MG,Figueirense,casa
Cruzeiro,Portuguesa,casa
Botafogo-RJ,Santos,fora
Figueirense,Atletico-GO,casa
Ponte Preta,Nautico,casa
Bahia,Fluminense,fora
Vasco,Sao Paulo,fora
Corinthians,Flamengo,casa
Internacional,Atletico-MG,casa
Palmeiras,Coritiba,fora
Sport,Gremio,fora
Flamengo,Cruzeiro,empate
Atletico-GO,Internacional,casa
Portuguesa,Corinthians,empate
Atletico-MG,Sport,casa
Santos,Vasco,casa
Sao Paulo,Figueirense,casa
Coritiba,Bahia,casa
Nautico,Palmeiras,casa
Fluminense,Ponte Preta,casa
Gremio,Botafogo-RJ,empate
Fluminense,Gremio,empate
Internacional,Figueirense,fora
Coritiba,Nautico,casa
Bahia,Palmeiras,fora
Cruzeiro,Corinthians,casa
Portuguesa,Flamengo,empate
Santos,Atletico-MG,empate
Botafogo-RJ,Vasco,casa
Sao Paulo,Atletico-GO,casa
Sport,Ponte Preta,casa
Palmeiras,Cruzeiro,casa
Gremio,Coritiba,empate
Corinthians,Bahia,empate
Atletico-MG,Fluminense,casa
Flamengo,Sao Paulo,casa
Nautico,Portuguesa,empate
Ponte Preta,Santos,casa
Atletico-GO,Sport,fora
Vasco,Internacional,fora
Figueirense,Botafogo-RJ,fora
Fluminense,Coritiba,casa
Santos,Nautico,empate
Ponte Preta,Cruzeiro,casa
Internacional,Palmeiras,casa
Corinthians,Vasco,casa
Botafogo-RJ,Atletico-GO,casa
Figueirense,Portuguesa,empate
Sport,Sao Paulo,fora
Bahia,Gremio,empate
Atletico-MG,Flamengo,empate
Cruzeiro,Santos,fora
Gremio,Ponte Preta,casa
Flamengo,Figueirense,casa
Palmeiras,Botafogo-RJ,empate
Vasco,Sport,fora
Sao Paulo,Fluminense,empate
Atletico-GO,Corinthians,fora
Portuguesa,Bahia,fora
Coritiba,Atletico-MG,casa
Nautico,Internacional,casa
Botafogo-RJ,Portuguesa,casa
Atletico-GO,Santos,casa
Corinthians,Coritiba,casa
Palmeiras,Fluminense,fora
Gremio,Sao Paulo,casa
Vasco,Atletico-MG,empate
Cruzeiro,Bahia,casa
Nautico,Flamengo,fora
Figueirense,Sport,empate
Ponte Preta,Internacional,casa
Santos,Figueirense,casa
Coritiba,Vasco,fora
Flamengo,Palmeiras,empate
Fluminense,Cruzeiro,fora
Sao Paulo,Nautico,casa
Atletico-MG,Atletico-GO,empate
Bahia,Ponte Preta,casa
Internacional,Corinthians,fora
Portuguesa,Gremio,empate
Sport,Botafogo-RJ,casa
Vasco,Flamengo,empate
Corinthians,Santos,empate
Botafogo-RJ,Atletico-MG,fora
Figueirense,Gremio,fora
Ponte Preta,Sao Paulo,empate
Cruzeiro,Coritiba,casa
Palmeiras,Atletico-GO,fora
Bahia,Nautico,empate
Internacional,Portuguesa,fora
Sport,Fluminense,empate
Santos,Palmeiras,casa
Flamengo,Botafogo-RJ,empate
Fluminense,Vasco,fora
Gremio,Internacional,empate
Atletico-MG,Cruzeiro,casa
Sao Paulo,Corinthians,casa
Coritiba,Figueirense,casa
Atletico-GO,Bahia,fora
Portuguesa,Ponte Preta,empate
Nautico,Sport,casa
Vitoria,Internacional,empate
Vasco,Portuguesa,casa
Corinthians,Botafogo-RJ,empate
Gremio,Nautico,casa
Criciuma,Bahia,casa
Ponte Preta,Sao Paulo,fora
Santos,Flamengo,empate
Coritiba,Atletico-MG,casa
Cruzeiro,Goias,casa
Fluminense,Athletico-PR,casa
Athletico-PR,Cruzeiro,empate
Botafogo-RJ,Santos,casa
Sao Paulo,Vasco,casa
Flamengo,Ponte Preta,fora
Bahia,Coritiba,empate
Nautico,Vitoria,fora
Goias,Corinthians,empate
Internacional,Criciuma,casa
Athletico-PR,Flamengo,empate
Santos,Gremio,empate
Botafogo-RJ,Cruzeiro,casa
Vitoria,Vasco,casa
Goias,Coritiba,empate
Corinthians,Ponte Preta,casa
Atletico-MG,Sao Paulo,empate
Fluminense,Criciuma,casa
Internacional,Bahia,fora
Nautico,Portuguesa,empate
Sao Paulo,Goias,fora
Portuguesa,Internacional,empate
Criciuma,Santos,casa
Vasco,Atletico-MG,casa
Gremio,Vitoria,casa
Ponte Preta,Athletico-PR,fora
Flamengo,Nautico,fora
Bahia,Botafogo-RJ,casa
Cruzeiro,Corinthians,casa
Coritiba,Fluminense,casa
Cruzeiro,Internacional,empate
Criciuma,Flamengo,fora
Corinthians,Portuguesa,empate
Vasco,Bahia,empate
Ponte Preta,Botafogo-RJ,fora
Atletico-MG,Gremio,casa
Vitoria,Athletico-PR,casa
Coritiba,Nautico,casa
Fluminense,Goias,casa
Portuguesa,Fluminense,casa
Santos,Atletico-MG,casa
Gremio,Sao Paulo,empate
Athletico-PR,Gremio,empate
Flamengo,Coritiba,empate
Nautico,Ponte Preta,fora
Portuguesa,Cruzeiro,empate
Bahia,Corinthians,fora
Goias,Vitoria,casa
Internacional,Vasco,casa
Sao Paulo,Santos,fora
Atletico-MG,Criciuma,casa
Botafogo-RJ,Fluminense,casa
Sao Paulo,Bahia,fora
Santos,Portuguesa,casa
Fluminense,Internacional,fora
Ponte Preta,Bahia,empate
Gremio,Botafogo-RJ,casa
Corinthians,Atletico-MG,fora
Coritiba,Athletico-PR,casa
Vitoria,Sao Paulo,casa
Cruzeiro,Nautico,casa
Criciuma,Goias,empate
Vasco,Flamengo,fora
Botafogo-RJ,Nautico,casa
Criciuma,Gremio,casa
Sao Paulo,Cruzeiro,fora
Santos,Coritiba,empate
Athletico-PR,Corinthians,empate
Internacional,Flamengo,casa
Vitoria,Bahia,empate
Goias,Portuguesa,casa
Fluminense,Vasco,fora
Sao Paulo,Internacional,fora
Vasco,Criciuma,casa
Portuguesa,Athletico-PR,fora
Ponte Preta,Santos,casa
Gremio,Fluminense,casa
Corinthians,Sao Paulo,empate
Cruzeiro,Atletico-MG,casa
Nautico,Internacional,casa
Coritiba,Vitoria,empate
Bahia,Goias,casa
Flamengo,Botafogo-RJ,empate
Fluminense,Cruzeiro,casa
Atletico-MG,Athletico-PR,fora
Portuguesa,Criciuma,empate
Coritiba,Ponte Preta,casa
Bahia,Flamengo,casa
Corinthians,Gremio,casa
Botafogo-RJ,Vitoria,casa
Goias,Vasco,empate
Cruzeiro,Coritiba,casa
Flamengo,Atletico-MG,casa
Gremio,Internacional,empate
Ponte Preta,Fluminense,empate
Athletico-PR,Goias,casa
Criciuma,Corinthians,fora
Vasco,Botafogo-RJ,fora
Vitoria,Portuguesa,casa
Vitoria,Fluminense,empate
Criciuma,Cruzeiro,fora
Athletico-PR,Bahia,casa
Flamengo,Portuguesa,empate
Atletico-MG,Botafogo-RJ,empate
Goias,Nautico,casa
Santos,Corinthians,empate
Vasco,Ponte Preta,empate
Gremio,Coritiba,fora
Nautico,Atletico-MG,empate
Botafogo-RJ,Goias,empate
Fluminense,Flamengo,fora
Corinthians,Vitoria,casa
Coritiba,Vasco,fora
Cruzeiro,Santos,empate
Internacional,Athletico-PR,empate
Ponte Preta,Criciuma,casa
Portuguesa,Sao Paulo,casa
Bahia,Gremio,fora
Atletico-MG,Bahia,casa
Criciuma,Nautico,casa
Santos,Vasco,empate
Vitoria,Ponte Preta,casa
Coritiba,Portuguesa,empate
Gremio,Cruzeiro,casa
Goias,Flamengo,empate
Fluminense,Corinthians,empate
Sao Paulo,Athletico-PR,empate
Botafogo-RJ,Internacional,empate
Nautico,Fluminense,fora
Cruzeiro,Vitoria,casa
Vasco,Gremio,fora
Portuguesa,Botafogo-RJ,fora
Ponte Preta,Goias,fora
Flamengo,Sao Paulo,empate
Corinthians,Coritiba,casa
Athletico-PR,Criciuma,casa
Bahia,Santos,empate
Internacional,Atletico-MG,empate
Santos,Vitoria,casa
Flamengo,Gremio,fora
Ponte Preta,Cruzeiro,fora
Criciuma,Coritiba,casa
Vasco,Corinthians,empate
Atletico-MG,Portuguesa,casa
Bahia,Nautico,casa
Sao Paulo,Fluminense,casa
Internacional,Goias,empate
Athletico-PR,Botafogo-RJ,casa
Nautico,Athletico-PR,fora
Portuguesa,Bahia,casa
Goias,Atletico-MG,empate
Gremio,Ponte Preta,casa
Fluminense,Santos,fora
Vitoria,Criciuma,fora
Botafogo-RJ,Sao Paulo,empate
Corinthians,Flamengo,casa
Coritiba,Internacional,empate
Cruzeiro,Vasco,casa
Nautico,Sao Paulo,fora
Goias,Gremio,casa
Flamengo,Vitoria,casa
Athletico-PR,Santos,casa
Portuguesa,Ponte Preta,casa
Internacional,Corinthians,casa
Atletico-MG,Fluminense,empate
Bahia,Cruzeiro,fora
Botafogo-RJ,Coritiba,casa
Nautico,Vasco,fora
Sao Paulo,Criciuma,fora
Vitoria,Atletico-MG,empate
Ponte Preta,Internacional,fora
Santos,Goias,casa
Fluminense,Bahia,casa
Gremio,Portuguesa,casa
Cruzeiro,Flamengo,casa
Corinthians,Nautico,empate
Coritiba,Sao Paulo,casa
Criciuma,Botafogo-RJ,fora
Vasco,Athletico-PR,empate
Internacional,Santos,fora
Athletico-PR,Fluminense,empate
Goias,Cruzeiro,fora
Bahia,Criciuma,empate
Nautico,Gremio,fora
Botafogo-RJ,Corinthians,casa
Portuguesa,Vasco,casa
Internacional,Vitoria,empate
Sao Paulo,Ponte Preta,casa
Flamengo,Santos,casa
Atletico-MG,Coritiba,casa
Cruzeiro,Athletico-PR,casa
Fluminense,Portuguesa,casa
Criciuma,Internacional,fora
Ponte Preta,Flamengo,empate
Vasco,Sao Paulo,fora
Corinthians,Goias,fora
Coritiba,Bahia,empate
Vitoria,Nautico,casa
Santos,Botafogo-RJ,fora
Gremio,Atletico-MG,fora
Vasco,Vitoria,fora
Gremio,Santos,empate
Coritiba,Goias,empate
Criciuma,Fluminense,fora
Sao Paulo,Atletico-MG,casa
Ponte Preta,Corinthians,casa
Cruzeiro,Botafogo-RJ,casa
Flamengo,Athletico-PR,fora
Bahia,Internacional,casa
Portuguesa,Nautico,casa
Fluminense,Coritiba,empate
Vitoria,Gremio,empate
Goias,Sao Paulo,casa
Internacional,Portuguesa,fora
Nautico,Flamengo,empate
Botafogo-RJ,Bahia,fora
Corinthians,Cruzeiro,empate
Santos,Criciuma,casa
Athletico-PR,Ponte Preta,casa
Atletico-MG,Vasco,casa
Santos,Nautico,empate
Criciuma,Atletico-MG,empate
Goias,Fluminense,fora
Nautico,Coritiba,casa
Botafogo-RJ,Ponte Preta,fora
Bahia,Vasco,empate
Flamengo,Criciuma,casa
Portuguesa,Corinthians,casa
Sao Paulo,Gremio,fora
Atletico-MG,Santos,casa
Athletico-PR,Vitoria,fora
Internacional,Cruzeiro,fora
Ponte Preta,Nautico,fora
Gremio,Athletico-PR,casa
Cruzeiro,Portuguesa,casa
Fluminense,Botafogo-RJ,empate
Vitoria,Goias,casa
Coritiba,Flamengo,fora
Corinthians,Bahia,casa
Santos,Sao Paulo,casa
Atletico-MG,Ponte Preta,casa
Vasco,Internacional,casa
Botafogo-RJ,Gremio,fora
Sao Paulo,Vitoria,casa
Atletico-MG,Corinthians,empate
Athletico-PR,Coritiba,casa
Flamengo,Vasco,empate
Internacional,Fluminense,casa
Nautico,Cruzeiro,fora
Bahia,Ponte Preta,empate
Goias,Criciuma,empate
Portuguesa,Santos,casa
Coritiba,Santos,casa
Gremio,Criciuma,fora
Ponte Preta,Atletico-MG,casa
Bahia,Vitoria,casa
Corinthians,Athletico-PR,empate
Cruzeiro,Sao Paulo,fora
Nautico,Botafogo-RJ,fora
Vasco,Fluminense,casa
Portuguesa,Goias,fora
Flamengo,Internacional,casa
Fluminense,Gremio,empate
Vitoria,Coritiba,casa
Santos,Ponte Preta,casa
Atletico-MG,Cruzeiro,casa
Criciuma,Vasco,casa
Internacional,Nautico,casa
Sao Paulo,Corinthians,empate
Athletico-PR,Portuguesa,casa
Botafogo-RJ,Flamengo,casa
Goias,Bahia,casa
Cruzeiro,Fluminense,casa
Santos,Internacional,empate
Criciuma,Portuguesa,fora
Ponte Preta,Coritiba,casa
Sao Paulo,Nautico,casa
Flamengo,Bahia,casa
Athletico-PR,Atletico-MG,casa
Gremio,Corinthians,casa
Vasco,Goias,fora
Vitoria,Botafogo-RJ,casa
Fluminense,Ponte Preta,empate
Nautico,Santos,fora
Corinthians,Criciuma,casa
Atletico-MG,Flamengo,casa
Bahia,Sao Paulo,fora
Goias,Athletico-PR,casa
Internacional,Gremio,empate
Botafogo-RJ,Vasco,empate
Coritiba,Cruzeiro,casa
Portuguesa,Vitoria,empate
Botafogo-RJ,Atletico-MG,casa
Cruzeiro,Criciuma,casa
Bahia,Athletico-PR,empate
Corinthians,Santos,empate
Internacional,Sao Paulo,fora
Ponte Preta,Vasco,casa
Portuguesa,Flamengo,empate
Coritiba,Gremio,casa
Fluminense,Vitoria,fora
Nautico,Goias,fora
Sao Paulo,Portuguesa,casa
Vasco,Coritiba,casa
Atletico-MG,Nautico,casa
Goias,Botafogo-RJ,casa
Gremio,Bahia,empate
Santos,Cruzeiro,fora
Vitoria,Corinthians,empate
Athletico-PR,Internacional,casa
Criciuma,Ponte Preta,empate
Flamengo,Fluminense,casa
Bahia,Atletico-MG,empate
Portuguesa,Coritiba,empate
Flamengo,Goias,empate
Athletico-PR,Sao Paulo,casa
Cruzeiro,Gremio,casa
Internacional,Botafogo-RJ,casa
Ponte Preta,Vitoria,fora
Corinthians,Fluminense,casa
Nautico,Criciuma,fora
Vasco,Santos,empate
Goias,Ponte Preta,casa
Gremio,Vasco,casa
Botafogo-RJ,Portuguesa,empate
Criciuma,Athletico-PR,casa
Coritiba,Corinthians,fora
Sao Paulo,Flamengo,casa
Vitoria,Cruzeiro,fora
Santos,Bahia,casa
Atletico-MG,Internacional,casa
Fluminense,Nautico,casa
Botafogo-RJ,Athletico-PR,casa
Coritiba,Criciuma,fora
Corinthians,Vasco,empate
Cruzeiro,Ponte Preta,empate
Fluminense,Sao Paulo,casa
Vitoria,Santos,casa
Goias,Internacional,casa
Gremio,Flamengo,casa
Nautico,Bahia,fora
Portuguesa,Atletico-MG,casa
Criciuma,Vitoria,empate
Vasco,Cruzeiro,casa
Atletico-MG,Goias,casa
Athletico-PR,Nautico,casa
Flamengo,Corinthians,casa
Ponte Preta,Gremio,empate
Santos,Fluminense,casa
Bahia,Portuguesa,casa
Internacional,Coritiba,empate
Sao Paulo,Botafogo-RJ,empate
Fluminense,Atletico-MG,empate
Corinthians,Internacional,empate
Coritiba,Botafogo-RJ,casa
Criciuma,Sao Paulo,casa
Cruzeiro,Bahia,fora
Ponte Preta,Portuguesa,fora
Vasco,Nautico,casa
Vitoria,Flamengo,casa
Gremio,Goias,casa
Santos,Athletico-PR,casa
Flamengo,Cruzeiro,empate
Nautico,Corinthians,casa
Atletico-MG,Vitoria,empate
Athletico-PR,Vasco,casa
Bahia,Fluminense,fora
Botafogo-RJ,Criciuma,casa
Goias,Santos,fora
Internacional,Ponte Preta,empate
Portuguesa,Gremio,empate
Sao Paulo,Coritiba,fora
Fluminense,Figueirense,casa
Internacional,Vitoria,casa
Chapecoense,Coritiba,empate
Athletico-PR,Gremio,casa
Sao Paulo,Botafogo-RJ,casa
Bahia,Cruzeiro,fora
Atletico-MG,Corinthians,empate
Flamengo,Goias,empate
Santos,Sport,empate
Criciuma,Palmeiras,fora
Coritiba,Santos,empate
Palmeiras,Fluminense,fora
Botafogo-RJ,Internacional,empate
Vitoria,Athletico-PR,empate
Corinthians,Flamengo,casa
Cruzeiro,Sao Paulo,empate
Figueirense,Bahia,fora
Gremio,Atletico-MG,casa
Goias,Criciuma,casa
Sport,Chapecoense,casa
Santos,Gremio,empate
Athletico-PR,Cruzeiro,fora
Sao Paulo,Coritiba,empate
Fluminense,Vitoria,fora
Criciuma,Figueirense,casa
Internacional,Sport,casa
Bahia,Botafogo-RJ,casa
Flamengo,Palmeiras,casa
Chapecoense,Corinthians,fora
Atletico-MG,Goias,fora
Internacional,Athletico-PR,casa
Palmeiras,Goias,casa
Botafogo-RJ,Criciuma,casa
Chapecoense,Gremio,fora
Fluminense,Flamengo,casa
Atletico-MG,Cruzeiro,casa
Sao Paulo,Corinthians,empate
Figueirense,Santos,fora
Coritiba,Sport,fora
Bahia,Vitoria,empate
Goias,Botafogo-RJ,casa
Cruzeiro,Coritiba,casa
Gremio,Fluminense,casa
Corinthians,Figueirense,fora
Flamengo,Sao Paulo,fora
Athletico-PR,Chapecoense,empate
Vitoria,Palmeiras,fora
Criciuma,Internacional,empate
Santos,Atletico-MG,fora
Coritiba,Internacional,empate
Flamengo,Bahia,empate
Cruzeiro,Sport,casa
Criciuma,Chapecoense,casa
Corinthians,Athletico-PR,empate
Fluminense,Sao Paulo,casa
Gremio,Botafogo-RJ,casa
Palmeiras,Figueirense,casa
Goias,Santos,empate
Vitoria,Atletico-MG,fora
Bahia,Fluminense,fora
Sao Paulo,Gremio,casa
Santos,Flamengo,empate
Figueirense,Goias,fora
Sport,Corinthians,fora
Athletico-PR,Coritiba,casa
Internacional,Cruzeiro,fora
Botafogo-RJ,Vitoria,empate
Chapecoense,Palmeiras,casa
Atletico-MG,Criciuma,empate
Criciuma,Coritiba,casa
Palmeiras,Botafogo-RJ,fora
Sport,Gremio,empate
Internacional,Chapecoense,casa
Goias,Vitoria,empate
Corinthians,Cruzeiro,casa
Athletico-PR,Sao Paulo,empate
Atletico-MG,Fluminense,casa
Flamengo,Figueirense,empate
Bahia,Santos,fora
Coritiba,Goias,casa
Sao Paulo,Atletico-MG,casa
Vitoria,Sport,fora
Gremio,Palmeiras,empate
Chapecoense,Bahia,casa
Cruzeiro,Flamengo,casa
Fluminense,Internacional,empate
Santos,Criciuma,casa
Figueirense,Athletico-PR,fora
Corinthians,Botafogo-RJ,empate
Sport,Bahia,casa
Gremio,Goias,empate
Coritiba,Figueirense,fora
Sport,Botafogo-RJ,casa
Criciuma,Fluminense,casa
Bahia,Sao Paulo,fora
Flamengo,Athletico-PR,fora
Corinthians,Internacional,casa
Santos,Palmeiras,casa
Cruzeiro,Vitoria,casa
Sao Paulo,Chapecoense,fora
Figueirense,Gremio,fora
Atletico-MG,Bahia,empate
Botafogo-RJ,Coritiba,casa
Internacional,Flamengo,casa
Palmeiras,Cruzeiro,fora
Vitoria,Corinthians,empate
Athletico-PR,Criciuma,casa
Fluminense,Santos,casa
Goias,Sport,empate
Santos,Chapecoense,casa
Cruzeiro,Figueirense,casa
Criciuma,Vitoria,fora
Bahia,Internacional,fora
Goias,Sao Paulo,casa
Athletico-PR,Fluminense,fora
Corinthians,Palmeiras,casa
Sport,Atletico-MG,casa
Flamengo,Botafogo-RJ,casa
Gremio,Coritiba,fora
Botafogo-RJ,Cruzeiro,empate
Sao Paulo,Criciuma,empate
Vitoria,Gremio,casa
Palmeiras,Bahia,empate
Chapecoense,Flamengo,casa
Coritiba,Corinthians,empate
Figueirense,Sport,casa
Internacional,Santos,casa
Fluminense,Goias,casa
Atletico-MG,Athletico-PR,casa
Chapecoense,Atletico-MG,empate
Criciuma,Cruzeiro,empate
Bahia,Goias,casa
Fluminense,Coritiba,empate
Flamengo,Sport,casa
Santos,Corinthians,fora
Athletico-PR,Botafogo-RJ,casa
Internacional,Gremio,casa
Atletico-MG,Palmeiras,casa
Chapecoense,Figueirense,fora
Sao Paulo,Vitoria,casa
Goias,Internacional,fora
Corinthians,Bahia,empate
Coritiba,Flamengo,fora
Palmeiras,Sao Paulo,fora
Gremio,Criciuma,casa
Cruzeiro,Santos,casa
Vitoria,Chapecoense,empate
Botafogo-RJ,Fluminense,casa
Sport,Athletico-PR,empate
Figueirense,Atletico-MG,empate
Sport,Palmeiras,casa
Figueirense,Botafogo-RJ,casa
Santos,Athletico-PR,casa
Coritiba,Vitoria,casa
Bahia,Criciuma,empate
Chapecoense,Fluminense,casa
Flamengo,Atletico-MG,casa
Internacional,Sao Paulo,fora
Corinthians,Goias,casa
Cruzeiro,Gremio,casa
Atletico-MG,Internacional,casa
Botafogo-RJ,Chapecoense,casa
Palmeiras,Coritiba,casa
Gremio,Corinthians,casa
Criciuma,Flamengo,fora
Vitoria,Figueirense,fora
Sao Paulo,Santos,casa
Fluminense,Sport,casa
Goias,Cruzeiro,fora
Athletico-PR,Bahia,empate
Palmeiras,Internacional,fora
Cruzeiro,Chapecoense,casa
Corinthians,Fluminense,empate
Coritiba,Atletico-MG,empate
Sport,Criciuma,casa
Figueirense,Sao Paulo,empate
Botafogo-RJ,Santos,casa
Gremio,Bahia,casa
Goias,Athletico-PR,casa
Vitoria,Flamengo,fora
Santos,Vitoria,casa
Flamengo,Gremio,fora
Chapecoense,Goias,empate
Sao Paulo,Sport,casa
Criciuma,Corinthians,empate
Atletico-MG,Botafogo-RJ,casa
Fluminense,Cruzeiro,empate
Bahia,Coritiba,empate
