mandante,visitante,resultado
Fortaleza,Santos,empate
Internacional,Vitoria,fora
Cruzeiro,Guarani,casa
Sao Paulo,Paysandu,casa
Sao Caetano,Vasco,casa
Juventude,Goias,fora
Flamengo,Corinthians,casa
Bahia,Parana,casa
Ponte Preta,Figueirense,empate
Criciuma,Athletico-PR,casa
Coritiba,Atletico-MG,empate
Santos,Criciuma,casa
Athletico-PR,Cruzeiro,fora
Gremio,Bahia,empate
Corinthians,Fortaleza,casa
Vitoria,Flamengo,casa
Figueirense,Sao Paulo,empate
Goias,Internacional,casa
Paysandu,Sao Caetano,casa
Guarani,Juventude,casa
Parana,Coritiba,fora
Vasco,Fluminense,casa
Atletico-MG,Ponte Preta,casa
Cruzeiro,Santos,casa
Coritiba,Gremio,casa
Ponte Preta,Parana,casa
Fluminense,Paysandu,empate
Internacional,Guarani,casa
Bahia,Vasco,casa
Criciuma,Corinthians,casa
Fortaleza,Vitoria,casa
Juventude,Athletico-PR,casa
Sao Caetano,Figueirense,fora
Sao Paulo,Atletico-MG,empate
Flamengo,Goias,empate
Athletico-PR,Internacional,casa
Gremio,Ponte Preta,empate
Goias,Fortaleza,fora
Paysandu,Bahia,casa
Vitoria,Criciuma,empate
Guarani,Flamengo,casa
Parana,Sao Paulo,casa
Santos,Juventude,empate
Corinthians,Cruzeiro,fora
Figueirense,Fluminense,empate
Vasco,Coritiba,casa
Atletico-MG,Sao Caetano,casa
Internacional,Santos,casa
Sao Paulo,Gremio,casa
Flamengo,Athletico-PR,casa
Cruzeiro,Vitoria,casa
Bahia,Figueirense,empate
Criciuma,Goias,casa
Fortaleza,Guarani,casa
Juventude,Corinthians,casa
Ponte Preta,Vasco,empate
Sao Caetano,Parana,casa
Fluminense,Atletico-MG,fora
Coritiba,Paysandu,casa
Athletico-PR,Fluminense,empate
Paysandu,Internacional,empate
Sao Caetano,Ponte Preta,casa
Gremio,Figueirense,casa
Sao Paulo,Santos,fora
Vitoria,Corinthians,fora
Goias,Bahia,casa
Atletico-MG,Vasco,casa
Juventude,Fortaleza,empate
Guarani,Coritiba,casa
Flamengo,Parana,fora
Criciuma,Cruzeiro,fora
Vasco,Juventude,empate
Fortaleza,Gremio,empate
Corinthians,Sao Caetano,fora
Coritiba,Goias,casa
Ponte Preta,Athletico-PR,empate
Santos,Guarani,empate
Bahia,Sao Paulo,casa
Cruzeiro,Flamengo,casa
Parana,Paysandu,casa
Internacional,Criciuma,casa
Fluminense,Vitoria,casa
Figueirense,Atletico-MG,fora
Athletico-PR,Coritiba,casa
Guarani,Ponte Preta,fora
Sao Caetano,Santos,empate
Atletico-MG,Cruzeiro,fora
Figueirense,Criciuma,casa
Sao Paulo,Corinthians,casa
Vitoria,Bahia,casa
Goias,Fluminense,casa
Juventude,Parana,empate
Flamengo,Vasco,casa
Internacional,Gremio,fora
Paysandu,Fortaleza,casa
Goias,Sao Paulo,casa
Guarani,Fluminense,casa
Flamengo,Paysandu,casa
Gremio,Atletico-MG,empate
Coritiba,Bahia,casa
Parana,Internacional,casa
Santos,Athletico-PR,casa
Criciuma,Vasco,casa
Fortaleza,Figueirense,empate
Vitoria,Sao Caetano,empate
Corinthians,Ponte Preta,casa
Cruzeiro,Juventude,fora
Ponte Preta,Goias,fora
Sao Caetano,Coritiba,casa
Athletico-PR,Vitoria,fora
Figueirense,Flamengo,empate
Fluminense,Corinthians,casa
Internacional,Cruzeiro,casa
Bahia,Santos,fora
Paysandu,Criciuma,casa
Sao Paulo,Guarani,empate
Atletico-MG,Parana,empate
Juventude,Gremio,fora
Vasco,Fortaleza,empate
Coritiba,Santos,fora
Bahia,Fluminense,empate
Ponte Preta,Vitoria,empate
Cruzeiro,Figueirense,casa
Sao Caetano,Sao Paulo,fora
Parana,Vasco,empate
Goias,Guarani,casa
Criciuma,Fortaleza,empate
Corinthians,Athletico-PR,fora
Paysandu,Atletico-MG,casa
Flamengo,Gremio,casa
Internacional,Juventude,empate
Guarani,Bahia,casa
Athletico-PR,Sao Caetano,casa
Gremio,Parana,fora
Fluminense,Ponte Preta,empate
Atletico-MG,Criciuma,empate
Santos,Corinthians,casa
Juventude,Flamengo,empate
Fortaleza,Cruzeiro,fora
Figueirense,Paysandu,casa
Vitoria,Goias,fora
Vasco,Internacional,fora
Sao Paulo,Coritiba,casa
Parana,Figueirense,empate
Internacional,Fortaleza,empate
Juventude,Criciuma,casa
Paysandu,Vasco,fora
Sao Paulo,Fluminense,casa
Coritiba,Corinthians,casa
Santos,Vitoria,casa
Cruzeiro,Gremio,casa
Bahia,Ponte Preta,casa
Goias,Athletico-PR,casa
Flamengo,Atletico-MG,casa
Guarani,Sao Caetano,fora
Fluminense,Coritiba,casa
Gremio,Paysandu,casa
Criciuma,Parana,fora
Ponte Preta,Santos,fora
Vasco,Cruzeiro,fora
Fortaleza,Flamengo,casa
Athletico-PR,Sao Paulo,casa
Sao Caetano,Bahia,casa
Figueirense,Juventude,casa
Vitoria,Guarani,empate
Corinthians,Goias,casa
Atletico-MG,Internacional,fora
Figueirense,Internacional,casa
Atletico-MG,Fortaleza,casa
Coritiba,Ponte Preta,empate
Gremio,Vasco,casa
Flamengo,Criciuma,casa
Santos,Fluminense,casa
Parana,Cruzeiro,fora
Sao Caetano,Goias,casa
Bahia,Athletico-PR,fora
Sao Paulo,Vitoria,casa
Guarani,Corinthians,fora
Paysandu,Juventude,casa
Vasco,Figueirense,casa
Juventude,Atletico-MG,casa
Athletico-PR,Guarani,casa
Fluminense,Sao Caetano,casa
Internacional,Flamengo,casa
Goias,Santos,casa
Fortaleza,Parana,casa
Criciuma,Gremio,fora
Vitoria,Coritiba,casa
Ponte Preta,Sao Paulo,fora
Corinthians,Bahia,fora
Cruzeiro,Paysandu,casa
Vitoria,Atletico-MG,fora
Goias,Figueirense,fora
Athletico-PR,Vasco,empate
Corinthians,Parana,empate
Cruzeiro,Fluminense,casa
Guarani,Paysandu,casa
Santos,Gremio,empate
Flamengo,Ponte Preta,empate
Criciuma,Bahia,casa
Fortaleza,Coritiba,empate
Internacional,Sao Paulo,empate
Juventude,Sao Caetano,casa
Parana,Vitoria,casa
Coritiba,Criciuma,casa
Atletico-MG,Goias,casa
Figueirense,Guarani,casa
Sao Caetano,Internacional,casa
Gremio,Corinthians,casa
Ponte Preta,Fortaleza,casa
Bahia,Cruzeiro,fora
Fluminense,Juventude,casa
